Funder,closed,gold,diamond,bronze,green,hybrid,Total,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"150, 16-605",1,0,0,0,0,0,1,0,0,1,100
150101773,0,0,0,0,0,1,1,100,0,0,100
1503/600400001,1,0,0,0,0,0,1,0,0,0,0
"1504, 1703",0,1,0,0,0,0,1,100,0,0,100
15090007,1,1,0,0,0,0,2,50,1,0,100
15090013,1,0,0,0,0,0,1,0,1,0,100
"15090013, 21171178",1,0,0,0,0,0,1,0,1,0,100
15110006,0,0,0,0,0,1,1,100,0,0,100
15130009,0,0,0,0,0,1,1,100,0,0,100
151821301064071610,1,0,0,0,0,0,1,0,1,0,100
152096/17E,1,0,0,0,0,0,1,0,0,1,100
"152223/17E, CityU C1008-16G",1,0,0,0,0,0,1,0,0,1,100
158584,0,0,0,1,0,1,2,100,0,0,100
15H01332,0,0,0,0,0,1,1,100,0,0,100
"15JCYBJC48800, 16JCZDJC38900, 17JCTPJC51300, 2017917AO",1,0,0,0,0,0,1,0,1,0,100
"15JCZDJC39900, 16JCZDJC38900",0,1,0,0,0,0,1,100,0,0,100
"15KJB580011, 17KJB520029",1,0,0,0,0,0,1,0,1,0,100
16-UOA-002-CSG,3,0,0,0,0,0,3,0,3,0,100
16-UOA-042,0,1,0,0,0,0,1,100,0,0,100
16-UOA-049 - CSG,1,0,0,0,0,0,1,0,1,0,100
16-UOA-049-CSG,2,0,0,0,0,0,2,0,2,0,100
16-UOA-239,1,0,0,0,0,0,1,0,1,0,100
"16-UOA-277, 18-UOA-034",0,0,0,1,0,0,1,100,0,0,100
"16-UOA-277, 18-UOA-034, DE150101773",0,0,0,0,0,1,1,100,0,0,100
16-UOA-286,0,1,0,0,0,0,1,100,0,0,100
16-UOO-072,0,1,0,0,0,0,1,100,0,0,100
16-UOO-185,0,0,0,0,0,1,1,100,0,0,100
16/043,4,0,0,0,0,0,4,0,2,0,50
16/137/105,0,0,0,0,1,0,1,100,0,0,100
"16/656, SG",0,1,0,0,0,0,1,100,0,0,100
16/U733,1,0,0,0,0,0,1,0,1,0,100
"16211, RFP 16211",0,1,0,0,0,0,1,100,0,0,100
16229,0,0,0,0,0,1,1,100,0,0,100
"162647, FRQNT200125, FRQS260724",0,0,0,0,1,0,1,100,0,0,100
"1632-SPG, 3712996",0,1,0,0,0,0,1,100,0,0,100
"1654518, 1836651",1,0,0,0,0,0,1,0,0,0,0
16572,0,0,0,0,1,0,1,100,0,0,100
"1683, 1766",0,0,0,1,0,0,1,100,0,0,100
16931,0,1,0,0,0,0,1,100,0,0,100
"16CAW008CSG, DDUCAW1501",0,1,0,0,0,0,1,100,0,0,100
"16JCZDJC38900, 17JCTPJC51300",0,1,0,0,0,0,1,100,0,0,100
16UOA-002-CSG,1,0,0,0,0,0,1,0,1,0,100
