Department,Total,closed,gold,diamond,bronze,green,hybrid,Journal articles,Open,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"Behavioural Science Institute, Radboud University, Montessorilaan 3, P.O. Box 9104, Nijmegen, 6500 HE, Netherlands, Department of Exercise Sciences, The University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Behavioural Science Institute, Radboud University, Nijmegen, Netherlands, Department of Exercise Sciences, The University of Auckland",4,0,0,0,0,1,3,4,4,100%,0,0,100%
"Beijing Advanced Innovation Center for Biomedical Engineering, Beihang University, Beijing, China, Department of Mechanical Engineering, The University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Best Practice Advocacy Centre NZ, Dunedin, New Zealand, New Zealand Pharmacovigilance Centre, University of Otago, Dunedin, New Zealand, School of Pharmacy, Faculty of Medical and Health Sciences, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Bioengineering Institute, Department of Physiology, University of Auckland",1,1,0,0,0,0,0,0,0,,0,0,0%
"Bioengineering Institute, The University of Auckland",3,2,1,0,0,0,0,3,1,33%,2,0,100%
"Bioengineering Institute, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Bioinformatics Institute, School of Biological Sciences, University of Auckland",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Bioinformatics Institute, University of Auckland",1,1,0,0,0,0,0,1,0,0%,0,0,0%
"Bioinformatics and Molecular Evolution Group, School of Biotechnology, Dublin City University, Ireland, School of Biological Sciences, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Bioluminescent Superbugs Lab, Department of Molecular Medicine and Pathology, University of Auckland",2,1,1,0,0,0,0,2,1,50%,1,0,100%
"Bioluminescent Superbugs Lab, School of Medical Sciences, University of Auckland",2,0,2,0,0,0,0,2,2,100%,0,0,100%
"Bioluminescent Superbugs Lab, University of Auckland",1,0,0,1,0,0,0,1,1,100%,0,0,100%
"Biomedical Imaging Research Unit, Department of Anatomy and Medical Imaging, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Biomedical Imaging Research Unit, Faculty of Medical and Health Sciences, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Biomedical Imaging Research Unit, The University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Biomimetics Lab, Auckland Bioengineering Institute, University of Auckland",4,4,0,0,0,0,0,1,0,0%,1,0,25%
"Biomimetics Laboratory, Auckland Bioengineering Institute, University of Auckland",2,1,1,0,0,0,0,1,1,100%,0,0,50%
"Biomolecular Interaction Centre, University of Canterbury, Christchurch, New Zealand, School of Biological Sciences and School of Chemical Sciences, University of Auckland",2,2,0,0,0,0,0,2,0,0%,2,0,100%
"Bioprotection Technologies, The New Zealand Institute for Plant and Food Research Limited, Auckland, New Zealand, Bioprotection Centre for Research Excellence, New Zealand, School of Biological Sciences, University of Auckland",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Bioprotection, New Zealand Institute for Plant & Food Research Limited, Auckland, New Zealand, School of Biological Sciences, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Biozentrum I, Hans-Dieter-Hüsch-Weg 15, Mainz, 55128, Germany, Faculty of Biology, Johannes Gutenberg Universität, Mainz, Germany, Department of Infectious and Immune-Mediated Diseases, Italian Institute of Health, Rome, Italy, School of Computer Science, The University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Blood and Cancer Biology Laboratory, Department of Molecular Medicine & Pathology, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Blood and Cancer Biology Laboratory, Department of Molecular Medicine Pathology, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Blood and Cancer Biology Laboratory, Department of Molecular Medicine and Pathology, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Blood and Cancer, Auckland City Hospital, Grafton, Auckland, New Zealand, Cancer Trials New Zealand, Faculty of Medical and Health Sciences, University of Auckland",1,0,0,0,1,0,0,1,1,100%,0,0,100%
"Bone Research Group, Department of Medicine, Faculty of Medical and Health Sciences, University of Auckland",1,1,0,0,0,0,0,1,0,0%,0,0,0%
"Bone and Joint Laboratory, University of Auckland",2,1,1,0,0,0,0,2,1,50%,1,0,100%
"Bone and Joint Research Group, Department of Medicine, Faculty of Medical and Health Sciences, University of Auckland",4,2,2,0,0,0,0,4,2,50%,2,0,100%
"Bone and Joint Research Group, Department of Medicine, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
