Funder,closed,gold,diamond,bronze,green,hybrid,Total,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
Brian Mason Scientific and Technical Trust,2,0,0,1,0,0,3,33,2,0,100
Brian Mason Trust,0,0,0,0,1,0,1,100,0,0,100
"British Antarctic Survey, BAS",1,0,0,0,0,0,1,0,1,0,100
"British Geological Survey, BGS",0,0,0,0,1,0,1,100,0,0,100
Bundesministerium fur Bildung und ForschungFederal Ministry of Education & Research (BMBF),1,0,0,0,0,2,3,66,1,0,100
"Bundesministerium fÃ¼r Bildung und Frauen, BMBF",0,0,0,0,1,0,1,100,0,0,100
"Bundesministerium für Bildung und Forschung, BMBF",1,1,0,0,2,4,8,87,1,0,100
"Bundesministerium für Bildung und Forschung, BMBF: 01LC1501A‐H",0,0,0,0,0,1,1,100,0,0,100
"Bundesministerium für Bildung und Forschung, BMBF: 01LC1803A, 01LC1807B",0,0,0,0,0,1,1,100,0,0,100
"Bundesministerium für Bildung und Forschung, BMBF: 01LC1807C",0,1,0,0,0,0,1,100,0,0,100
"Bundesministerium für Bildung und Forschung, BMBF: 01LL1304A",0,0,0,0,1,0,1,100,0,0,100
"Bundesministerium für Bildung und Forschung, BMBF: 306060",0,0,0,0,0,1,1,100,0,0,100
"Bundesministerium für Bildung und Forschung, BMBF: FKZ 01LC1803A",0,0,0,0,0,1,1,100,0,0,100
"Bundesministerium für Bildung und Frauen, BMBF",0,0,0,0,0,1,1,100,0,0,100
"Bundesministerium für Ernährung und Landwirtschaft, BMEL",0,0,0,0,2,0,2,100,0,0,100
"Bundesministerium für Ernährung und Landwirtschaft, BMEL: 2815ERA01J",0,0,0,0,2,0,2,100,0,0,100
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft, BMLFUW",0,0,1,0,0,0,1,100,0,0,100
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft, BMLFUW: 100888",0,0,1,0,0,0,1,100,0,0,100
"Byrd Polar Research Center, Ohio State University, BPRC",0,0,0,0,1,0,1,100,0,0,100
"Byrd Polar Research Center, Ohio State University, BPRC: 2014",0,0,0,0,1,0,1,100,0,0,100
C09X1611,0,0,0,0,0,1,1,100,0,0,100
C10X1305,0,1,0,0,0,0,1,100,0,0,100
C10X1310,1,0,0,0,0,1,2,50,1,0,100
