Department,Total,closed,gold,diamond,bronze,green,hybrid,Journal articles,Open,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"Centre for Biostatistics, Division of Health Sciences, University of Otago",13,7,5,1,0,0,0,13,6,46%,4,3,100%
"Centre for Biostatistics, University of Otago",8,5,2,0,1,0,0,8,3,37%,5,0,100%
"Centre for Brain Research, University of Auckland, Auckland, 1023, New Zealand, Department of Pharmacology and Toxicology, University of Otago",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Centre for Cardiovascular Science, University of Edinburgh, Edinburgh, United Kingdom, Christchurch Heart Institute, University of Otago",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Centre for Early Learning in Medicine, Otago Medical School, University of Otago",2,1,0,0,0,1,0,2,1,50%,1,0,100%
"Centre for Free Radical Research, Department of Pathology and Biomedical Science, University of Otago",3,1,2,0,0,0,0,3,2,66%,1,0,100%
"Centre for Global Migration, University of Otago",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Centre for Global Migrations, University of Otago",1,0,0,0,1,0,0,1,1,100%,0,0,100%
"Centre for Hauora Māori, University of Otago",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Centre for Health Activity and Rehabilitation Research, School of Physiotherapy, University of Otago",3,3,0,0,0,0,0,3,0,0%,1,2,100%
"Centre for Health Equity, Melbourne School of Population and Global Health, The University of Melbourne, Parkville, Melbourne, VIC, Australia, Burden of Disease Epidemiology, Equity and Cost-Effectiveness Programme (BODE3), Department of Public Health, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Health Systems and Technology, Otago Business School, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Health Systems and Technology, University of Otago",3,3,0,0,0,0,0,3,0,0%,1,2,100%
"Centre for Health and Rehabilitation Technologies, Institute of Nursing and Health Research, Faculty of Life and Health Sciences, Ulster University, Shore Rd, Newtownabbey, BT37 0QB, United Kingdom, Honorary Research Prof., School of Physiotherapy, University of Otago",1,0,0,0,0,1,0,1,1,100%,0,0,100%
"Centre for Health and Rehabilitation Technologies, Institute of Nursing and Health Research, Faculty of Life and Health Sciences, Ulster University, United Kingdom, School of Physiotherapy, University of Otago",1,0,0,1,0,0,0,1,1,100%,0,0,100%
"Centre for Health and Rehabilitation Technologies, Ulster University, Newtownabbey, United Kingdom, School of Physiotherapy, University of Otago",1,0,0,0,0,1,0,1,1,100%,0,0,100%
"Centre for Health, Activity & Rehabilitation Research, School of Physiotherapy, University of Otago",1,0,0,1,0,0,0,1,1,100%,0,0,100%
"Centre for Health, Activity and Rehabilitation Research (CHARR), School of Physiotherapy, University of Otago",3,1,1,0,1,0,0,3,2,66%,1,0,100%
"Centre for Health, Activity and Rehabilitation Research (CHARR), School of Physiotherpay, University of Otago",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Centre for Health, Activity and Rehabilitation Research (CHARR), University of Otago",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Centre for Health, Activity and Rehabilitation Research, School of Physiotherapy, University of Otago",22,15,0,1,5,1,0,22,7,31%,12,1,90%
"Centre for Health, Activity, Rehabilitation Research, School of Physiotherapy, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Centre for Health, Activity, and Rehabilitation Research (CHARR) – School of Physiotherapy, University of Otago",1,1,0,0,0,0,0,1,0,0%,0,0,0%
"Centre for Health, Activity, and Rehabilitation Research (CHARR), School of Physiotherapy, University of Otago",5,4,0,0,0,0,1,5,1,20%,4,0,100%
"Centre for Health, Activity, and Rehabilitation Research, School of Physiotherapy, University of Otago",10,9,1,0,0,0,0,10,1,10%,7,1,90%
"Centre for Health, Activity, and Rehabilitation Research, University of Otago",2,2,0,0,0,0,0,2,0,0%,2,0,100%
